Symbol,Alias,SrcDbId,SrcName
A2M,alpha-2-macroglobulin,7,HGNC
A2M,FWP007,7,HGNC
A2M,S863-7,7,HGNC
A2M,CPAMD5,7,HGNC
A2M,alpha-2-macroglobulin,2,NCBI Gene
A2M,A2MD,2,NCBI Gene
A2M,CPAMD5,2,NCBI Gene
A2M,FWP007,2,NCBI Gene
A2M,S863-7,2,NCBI Gene
A2M,C3 and PZP-like alpha-2-macroglobulin domain-containing protein 5,2,NCBI Gene
A2M,alpha-2-M,2,NCBI Gene
A2M,alpha-2-macroglobulin,ENSG00000175899,Ensembl
A2M,CPAMD5,ENSG00000175899,Ensembl
A2M,FWP007,ENSG00000175899,Ensembl
A2M,S863-7,ENSG00000175899,Ensembl
AAK1,AP2 associated kinase 1,19679,HGNC
AAK1,KIAA1048,19679,HGNC
AAK1,DKFZp686K16132,19679,HGNC
AAK1,AP2 associated kinase 1,22848,NCBI Gene
AAK1,AP2-associated protein kinase 1,22848,NCBI Gene
AAK1,adaptor-associated kinase 1,22848,NCBI Gene
AAK1,alternative protein AAK1,22848,NCBI Gene
AAK1,AP2 associated kinase 1,ENSG00000115977,Ensembl
AAK1,DKFZp686K16132,ENSG00000115977,Ensembl
AAK1,KIAA1048,ENSG00000115977,Ensembl
AARS1,CMT2N,ENSG00000090861,Ensembl
AARS1,AlaRS,ENSG00000090861,Ensembl
AARS1,AARS,ENSG00000090861,Ensembl
AARS1,alanyl-tRNA synthetase 1,ENSG00000090861,Ensembl
AARS1,renal carcinoma antigen NY-REN-42,16,NCBI Gene
AARS1,protein lactyltransferase AARS1,16,NCBI Gene
AARS1,"alanyl-tRNA synthetase, cytoplasmic",16,NCBI Gene
AARS1,"alanine tRNA ligase 1, cytoplasmic",16,NCBI Gene
AARS1,AlaRS,16,NCBI Gene
AARS1,"alanine--tRNA ligase, cytoplasmic",16,NCBI Gene
AARS1,TTD8,16,NCBI Gene
AARS1,HDLS2,16,NCBI Gene
AARS1,EIEE29,16,NCBI Gene
AARS1,DEE29,16,NCBI Gene
AARS1,CMT2N,16,NCBI Gene
AARS1,AARS,16,NCBI Gene
AARS1,alanyl-tRNA synthetase 1,16,NCBI Gene
AARS1,alanyl-tRNA synthetase,20,HGNC
AARS1,"alanine tRNA ligase 1, cytoplasmic",20,HGNC
AARS1,AlaRS,20,HGNC
AARS1,CMT2N,20,HGNC
AARS1,alanyl-tRNA synthetase 1,20,HGNC
AARS2,KIAA1270,ENSG00000124608,Ensembl
AARS2,bA444E17.1,ENSG00000124608,Ensembl
AARS2,AARSL,ENSG00000124608,Ensembl
AARS2,"alanyl-tRNA synthetase 2, mitochondrial",ENSG00000124608,Ensembl
AARS2,"probable alanyl-tRNA synthetase, mitochondrial",57505,NCBI Gene
AARS2,alanyl-tRNA synthetase like,57505,NCBI Gene
AARS2,"alanyl-tRNA synthetase 2, mitochondrial (putative)",57505,NCBI Gene
AARS2,"alanine tRNA ligase 2, mitochondrial (putative)",57505,NCBI Gene
AARS2,"alanine--tRNA ligase, mitochondrial",57505,NCBI Gene
AARS2,MTALARS,57505,NCBI Gene
AARS2,MT-ALARS,57505,NCBI Gene
